Average and SD of comm time
Data size : 262144
Repeat time : 100
# of process: 64

ave sd min max mode
process: 0
	node group: 0
	comm time
		  23 : 0.001743	0.001666	0.000305	0.007558	0.001104
		  24 : 0.001578	0.001751	0.000306	0.007536	0.000910
		  25 : 0.000983	0.000647	0.000279	0.004766	0.000806
		  26 : 0.001423	0.001478	0.000338	0.006306	0.000880
		  27 : 0.002001	0.002257	0.000360	0.007342	0.000919
		  28 : 0.001435	0.001300	0.000375	0.007714	0.000962
		  29 : 0.001205	0.000856	0.000303	0.004459	0.000936
		  30 : 0.001208	0.001039	0.000285	0.007460	0.000883
		  31 : 0.001520	0.001561	0.000405	0.006865	0.000927
		  32 : 0.001098	0.000721	0.000364	0.005740	0.000909
		  33 : 0.002034	0.002180	0.000374	0.006915	0.000963
		  34 : 0.001036	0.000580	0.000401	0.003570	0.000821
		  35 : 0.001623	0.001465	0.000433	0.006300	0.001056
		  36 : 0.001182	0.001056	0.000410	0.006901	0.000860
		  37 : 0.001084	0.000860	0.000321	0.005329	0.000833
		  38 : 0.000972	0.000827	0.000264	0.007774	0.000798
		  39 : 0.001122	0.000652	0.000349	0.003745	0.000915
		  40 : 0.002340	0.002070	0.000300	0.008018	0.001461
		  41 : 0.001808	0.001635	0.000461	0.010029	0.001267
		  42 : 0.002264	0.002476	0.000246	0.010413	0.001229
		  43 : 0.002056	0.001699	0.000458	0.007810	0.001340
		  44 : 0.001336	0.001363	0.000307	0.010829	0.000957
		  45 : 0.002525	0.002865	0.000322	0.012221	0.001360
		  46 : 0.002985	0.003161	0.000413	0.011753	0.001306
		  47 : 0.001619	0.001392	0.000242	0.007140	0.001100
		  48 : 0.002468	0.002421	0.000354	0.013174	0.001870
		  49 : 0.002937	0.003351	0.000443	0.010972	0.001209
		  50 : 0.001467	0.001176	0.000405	0.007386	0.001125
		  51 : 0.001865	0.001682	0.000403	0.007784	0.001161
		  52 : 0.002278	0.002092	0.000498	0.010318	0.001256
		  53 : 0.001896	0.001614	0.000375	0.009912	0.001220
		  54 : 0.002726	0.003091	0.000347	0.011090	0.001154
		  55 : 0.002211	0.002375	0.000426	0.011650	0.001254
		  56 : 0.002880	0.003141	0.000532	0.013439	0.001498
		  57 : 0.002312	0.002938	0.000511	0.013316	0.001380
		  58 : 0.002016	0.001556	0.000284	0.008494	0.001567
		  59 : 0.002620	0.002933	0.000528	0.010919	0.001481
		  60 : 0.002552	0.002518	0.000462	0.011027	0.001685
		  61 : 0.001565	0.001053	0.000359	0.006690	0.001283
		  62 : 0.001843	0.001712	0.000498	0.010986	0.001254
		  63 : 0.001953	0.001731	0.000319	0.008677	0.001186
process: 2
	node group: 0
	comm time
		   0 : 0.000264	0.000087	0.000209	0.000620	0.000223
		   1 : 0.000250	0.000069	0.000209	0.000647	0.000220
		   2 : 0.000000	0.000000	0.000000	0.000000	0.000000
		   3 : 0.000297	0.000352	0.000216	0.003581	0.000228
		   4 : 0.001592	0.001439	0.000357	0.006261	0.000868
		   5 : 0.001409	0.001435	0.000413	0.006667	0.000906
		   6 : 0.001127	0.000963	0.000358	0.006405	0.000872
		   7 : 0.001134	0.000920	0.000254	0.008081	0.000848
		   8 : 0.001348	0.001110	0.000306	0.006530	0.000953
		   9 : 0.001107	0.000897	0.000278	0.006867	0.000798
		  10 : 0.001019	0.000537	0.000323	0.003951	0.000890
		  11 : 0.001030	0.000541	0.000386	0.002997	0.000859
		  12 : 0.001409	0.001658	0.000320	0.007016	0.000790
		  13 : 0.001767	0.001886	0.000413	0.007534	0.000889
		  14 : 0.002197	0.008796	0.000350	0.088902	0.000880
		  15 : 0.000967	0.000456	0.000311	0.002378	0.000831
		  16 : 0.001159	0.001257	0.000329	0.009198	0.000881
		  17 : 0.001246	0.001020	0.000325	0.006514	0.000841
		  18 : 0.001369	0.001278	0.000385	0.006109	0.000896
		  19 : 0.001013	0.000714	0.000299	0.004332	0.000827
		  20 : 0.001302	0.000926	0.000366	0.006493	0.000943
		  21 : 0.001259	0.000939	0.000402	0.005163	0.000894
		  22 : 0.001092	0.000719	0.000325	0.005719	0.000845
		  23 : 0.001630	0.001537	0.000408	0.006401	0.001042
		  24 : 0.001554	0.001735	0.000389	0.007531	0.000874
		  25 : 0.000918	0.000464	0.000357	0.002659	0.000797
		  26 : 0.001407	0.001409	0.000348	0.006316	0.000986
		  27 : 0.002058	0.002255	0.000360	0.007408	0.000986
		  28 : 0.001400	0.001426	0.000347	0.010947	0.000958
		  29 : 0.001304	0.000910	0.000341	0.004915	0.000963
		  30 : 0.001187	0.001190	0.000237	0.006852	0.000787
		  31 : 0.001499	0.001446	0.000307	0.006767	0.000966
		  32 : 0.001238	0.001325	0.000414	0.012613	0.000912
		  33 : 0.002318	0.002282	0.000376	0.008888	0.001011
		  34 : 0.000984	0.000523	0.000369	0.003429	0.000826
		  35 : 0.001566	0.001459	0.000313	0.006336	0.000995
		  36 : 0.001200	0.001137	0.000462	0.006946	0.000868
		  37 : 0.000980	0.000599	0.000243	0.005558	0.000844
		  38 : 0.001098	0.001201	0.000285	0.010769	0.000842
		  39 : 0.001258	0.000900	0.000367	0.006110	0.000926
		  40 : 0.002354	0.001909	0.000486	0.008245	0.001704
		  41 : 0.001715	0.001475	0.000388	0.010526	0.001304
		  42 : 0.002162	0.002403	0.000332	0.010107	0.001041
		  43 : 0.002021	0.001762	0.000421	0.008088	0.001327
		  44 : 0.001407	0.001566	0.000251	0.010895	0.000972
		  45 : 0.002410	0.002933	0.000419	0.016062	0.001325
		  46 : 0.002887	0.003089	0.000292	0.010926	0.001408
		  47 : 0.001595	0.001433	0.000406	0.009316	0.000981
		  48 : 0.002310	0.002554	0.000433	0.013177	0.001348
		  49 : 0.003130	0.003472	0.000434	0.010991	0.001247
		  50 : 0.001447	0.001289	0.000325	0.010104	0.001101
		  51 : 0.001949	0.001884	0.000365	0.007613	0.001132
		  52 : 0.002665	0.002996	0.000341	0.012242	0.001545
		  53 : 0.001621	0.001252	0.000369	0.006150	0.001164
		  54 : 0.002705	0.003109	0.000324	0.011285	0.001192
		  55 : 0.002419	0.002699	0.000361	0.011902	0.001470
		  56 : 0.003063	0.003379	0.000244	0.016118	0.001505
		  57 : 0.002549	0.003040	0.000482	0.013376	0.001473
		  58 : 0.001925	0.001380	0.000394	0.007915	0.001366
		  59 : 0.002659	0.003068	0.000385	0.010979	0.001378
		  60 : 0.002619	0.002551	0.000433	0.010434	0.001668
		  61 : 0.001589	0.001231	0.000352	0.009062	0.001293
		  62 : 0.001932	0.001894	0.000361	0.010059	0.001307
		  63 : 0.001939	0.001983	0.000384	0.012213	0.001098
process: 3
	node group: 0
	comm time
		   0 : 0.000275	0.000108	0.000210	0.000651	0.000221
		   1 : 0.000275	0.000115	0.000212	0.000962	0.000224
		   2 : 0.000304	0.000141	0.000204	0.000751	0.000219
		   3 : 0.000000	0.000000	0.000000	0.000000	0.000000
		   4 : 0.002250	0.008000	0.000362	0.080857	0.000920
		   5 : 0.001385	0.001429	0.000396	0.006656	0.000876
		   6 : 0.001130	0.000992	0.000300	0.009444	0.000926
		   7 : 0.001192	0.000966	0.000381	0.004780	0.000809
		   8 : 0.001456	0.001413	0.000422	0.009532	0.000953
		   9 : 0.001074	0.000629	0.000319	0.003619	0.000828
		  10 : 0.001009	0.000530	0.000383	0.003557	0.000873
		  11 : 0.001068	0.000602	0.000363	0.004238	0.000863
		  12 : 0.001283	0.001584	0.000402	0.007019	0.000802
		  13 : 0.001702	0.001766	0.000279	0.006931	0.000894
		  14 : 0.002210	0.008842	0.000266	0.089355	0.000936
		  15 : 0.001125	0.000778	0.000326	0.005291	0.000851
		  16 : 0.001038	0.000683	0.000456	0.005944	0.000853
		  17 : 0.001269	0.001006	0.000405	0.005878	0.000893
		  18 : 0.001356	0.001299	0.000386	0.006072	0.000826
		  19 : 0.000916	0.000457	0.000386	0.003295	0.000778
		  20 : 0.001207	0.000718	0.000314	0.003739	0.000968
		  21 : 0.001255	0.000918	0.000369	0.005127	0.000904
		  22 : 0.001043	0.000505	0.000246	0.003380	0.000935
		  23 : 0.001527	0.001488	0.000307	0.006346	0.000946
		  24 : 0.001588	0.001661	0.000357	0.007530	0.001040
		  25 : 0.000920	0.000479	0.000360	0.003361	0.000816
		  26 : 0.001423	0.001396	0.000379	0.006311	0.001013
		  27 : 0.001864	0.002198	0.000243	0.006910	0.000877
		  28 : 0.001398	0.001115	0.000412	0.005598	0.000970
		  29 : 0.001153	0.000709	0.000269	0.003944	0.000957
		  30 : 0.001032	0.000793	0.000324	0.004669	0.000803
		  31 : 0.001457	0.001487	0.000392	0.006772	0.000909
		  32 : 0.001038	0.000505	0.000370	0.003763	0.000897
		  33 : 0.001887	0.002182	0.000319	0.007034	0.000877
		  34 : 0.001046	0.000794	0.000241	0.006504	0.000859
		  35 : 0.001526	0.001409	0.000367	0.006323	0.000957
		  36 : 0.001097	0.000927	0.000340	0.006942	0.000875
		  37 : 0.001085	0.000799	0.000335	0.005141	0.000825
		  38 : 0.000922	0.000430	0.000240	0.002678	0.000828
		  39 : 0.001209	0.000940	0.000344	0.007756	0.000979
		  40 : 0.002705	0.002667	0.000299	0.017209	0.001615
		  41 : 0.001732	0.001306	0.000349	0.006699	0.001318
		  42 : 0.002116	0.002264	0.000323	0.010046	0.001247
		  43 : 0.002064	0.001820	0.000520	0.010017	0.001326
		  44 : 0.001302	0.001400	0.000305	0.009993	0.000910
		  45 : 0.002419	0.002757	0.000361	0.010706	0.001274
